data,model_name,accuracy_score,f1_score
train,svc,0.9694050991501416,0.9704938675439904
train,knn,0.9603399433427762,0.9618644086947192
train,lr,0.9818696883852692,0.9824877023061598
train,gb,0.9796033994334278,0.9804165453778094
train,xgb,0.9869688385269122,0.9872667390920112
train,xgb_hpt,0.9869688385269122,0.98758055695243
train,xgb95_hpt,0.9869688385269122,0.9873979489927204
train,xgb50_hpt,0.980169971671388,0.9806681967086418
train,xgb_top,0.9892351274787536,0.9896282690926604
test,xgb_hpt,0.9638009049773756,0.9634465089670576
test,xgb_top,0.9705882352941176,0.9703134927145696
test,up_xgb,0.9864253393665159,0.9751126126126126
test,up_xgb_top,0.9932126696832579,0.9876254024543885
